file,time,word,phoneme,automatic_ipa,F1,F2,F3,syllable_position,syllable,initial_syllable
Bulat,71.11100616649537,төннәрен,ө,œ,370.4779252042233,1567.65430324332,2548.4107985324868,1,төн,initial syllable
Bulat,71.31644463001027,төннәрен,ә,æ,614.9709631162373,1605.8181507247034,2614.0829269436013,2,нә,outside initial syllable
Bulat,71.48134815005137,төннәрен,е,e,504.7040694581704,1683.5417245593899,2617.8029512533967,3,рен,final syllable
Bulat,72.53811186153119,затларның,а,ɒ,505.2192002216946,1130.6934752371685,2727.108768936745,1,зат,initial syllable
Bulat,72.78272607016426,затларның,а,ɒ,662.3124360569102,1350.4480799859398,2643.057442113809,2,лар,outside initial syllable
Bulat,73.0303719167523,затларның,ы,ɯ,604.5220624012846,1304.5861824612946,2233.8917167349987,3,ның,final syllable
Bulat,74.29196312949641,исеменнән,и,i,222.0989485238915,2126.9283598289308,2893.21367361444,1,и,initial syllable
Bulat,74.45933476688037,исеменнән,е,e,463.350288299441,1717.0314656848984,2594.3459256235433,2,се,outside initial syllable
Bulat,74.57851708633096,исеменнән,е,e,424.0106711000919,1553.951094661231,2384.915057622025,3,мен,outside initial syllable
Bulat,74.84336241007196,исеменнән,ә,æ,637.8949497566828,1683.6630210111734,2684.256568646639,4,нән,final syllable
Bulat,75.94488386433709,агачыннан,а,ɒ,553.5926381335838,948.5669405445086,2432.779195786853,1,а,initial syllable
Bulat,76.07742175035483,агачыннан,а,ɒ,644.1136953961335,1307.5117607218215,2305.9308780141987,2,га,outside initial syllable
Bulat,76.29747584789311,агачыннан,ы,ɯ,441.94068773452784,1501.2088082171526,2491.1946552559843,3,чын,outside initial syllable
Bulat,76.5292097770763,агачыннан,а,ɑ,701.7945813475058,1428.852447523176,2311.1377773604604,4,нан,final syllable
Bulat,77.643704008222,тауына,а,ɑ,611.7262319227722,1146.2891995542207,2611.8470762480724,1,т,initial syllable
Bulat,77.82058376156219,тауына,ы,ɯ,548.7906650011633,1188.8800640360882,2367.096697773616,2,ауы,outside initial syllable
Bulat,78.0298622816033,тауына,а,ɑ,751.9328853110549,1391.202937696393,2529.1222877031373,3,на,final syllable
Bulat,79.03879136690647,абыйсы,а,ɒ,630.3041609424082,988.418136294368,2312.2593223867725,1,а,initial syllable
Bulat,79.17568345323741,абыйсы,ы,ɯ,367.9365589590941,1307.1805280920285,2250.465187058075,2,бый,outside initial syllable
Bulat,79.55264748201436,абыйсы,ы,ɯ,571.1030624611161,1543.686566004771,2599.776257208917,3,сы,final syllable
Bulat,82.36405542671987,сөенечле,ө,œ,331.3090592893879,2154.7127565406845,2535.046662991873,1,с,initial syllable
